"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","320992173757984512_1","530312968","2026-08-17","","Karnataka","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","127.0","127.0","NP2NMEU01839130"
"DELIVERED","321505194411460672_1","530312968","2026-08-19","","Karnataka","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","NP2NMEU01839131"
"DELIVERED","321902176447643008_1","530312968","2026-08-20","","Maharashtra","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","NP2NMEU01839132"
"RTO_LOCKED","321966703683995712_1","550120953","2026-08-20","","Karnataka","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0",
"CANCELLED","322201558502026560_1","530312968","2026-08-21","","Uttar Pradesh","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","127.0","127.0",
"CANCELLED","322563226679586112_1","530312968","2026-08-22","","Uttar Pradesh","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","127.0","127.0",
"DELIVERED","322658769615400256_1","530312968","2026-08-22","","Karnataka","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","NP2NMEU01839151"
"DELIVERED","322669768888192128_1","553468200","2026-08-22","","Andhra Pradesh","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0","NP2NMEU01839148"
"DELIVERED","322682336893615488_1","550120953","2026-08-22","","Jharkhand","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0","TP15DAE01434858"
"DELIVERED","322682941032085440_1","550120953","2026-08-22","","Gujarat","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0","TP15DAE01434861"
"DELIVERED","322761127120058304_1","550120953","2026-08-22","","Bihar","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0","TP15DAE01434859"
"DELIVERED","322802210479422848_1","550120953","2026-08-22","","Uttarakhand","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0","TP15DAE01434856"
"DELIVERED","322817140297469056_1","553468200","2026-08-23","","Maharashtra","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0","NP2NMEU01839149"
"DELIVERED","322947491351135168_1","530312968","2026-08-23","","Chhattisgarh","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","NP2NMEU01839152"
"DELIVERED","323063281291266112_1","550120953","2026-08-23","","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0","TP15DAE01434860"
"DELIVERED","323123358379443136_1","550120953","2026-08-23","","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0","TP15DAE01434857"
"DELIVERED","323156191881889857_1","553583961","2026-08-23","","Odisha","Annaprashan Decoration Kit | Red Black Gold Colour Balloon Backdrop | Baby Foils and Cutouts | (Set of 67 Pcs)","ANP009","Free Size","1","168.0","168.0","NP2NMEU01839155"
"DELIVERED","323293657565662336_1","530312968","2026-08-24","","Rajasthan","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","NP2NMEU01839150"
"CANCELLED","323371392514294720_1","550120953","2026-08-24","","Karnataka","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0",
"DELIVERED","323373459215649920_1","549481690","2026-08-24","","Uttar Pradesh","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","165.0","165.0","TP15DAE01434865"
"CANCELLED","323376886691825729_1","553468200","2026-08-24","","Tamil Nadu","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0","NP2NMEU01839135"
"DELIVERED","323403269400855488_1","550120953","2026-08-24","","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0","TP15DAE01434863"
"DELIVERED","323478820745119041_1","538866687","2026-08-24","","Himachal Pradesh","Annaprasan Decoration Kit | Red Gold Metallic Balloons | Heart Foil Banner | Props LED Light (Set of 54 Pcs)","ANP003","Free Size","1","182.0","182.0","TP15DAE01434864"
"DELIVERED","323679805597812032_1","550120953","2026-08-25","","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","178.0","178.0","TP15DAE01434862"
"CANCELLED","323727577850175360_1","550120953","2026-08-25","","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","173.0","173.0",
"DELIVERED","323762593931986240_1","530312968","2026-08-25","","Delhi","Annaprashan Decoration Kit | Annaprasan Banner | 30 Metallic Balloons | 4 Heart Foil Balloons | Baby Rice Ceremony Decoration Set","ANP001","Free Size","1","132.0","132.0","NP2NMEU01839157"
"DELIVERED","323836124231491456_1","553583961","2026-08-25","","Maharashtra","Annaprashan Decoration Kit | Red Black Gold Colour Balloon Backdrop | Baby Foils and Cutouts | (Set of 67 Pcs)","ANP009","Free Size","1","168.0","168.0","NP2NMEU01839158"
"CANCELLED","324023474945384320_1","550120953","2026-08-26","","Gujarat","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","182.0","182.0",
"DELIVERED","324047586342330240_1","550120953","2026-08-26","","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434867"
"DELIVERED","324054203019330753_1","558468591","2026-08-26","","Maharashtra","Welcome Baby Decoration Kit | Pink White and Silver Foil Balloon Decor | Banner and Fringe Curtain | (Set of 59 Pcs)","WB005","Free Size","1","188.0","188.0","TP15DAE01434868"
"CANCELLED","324124491547444547_1","553468200","2026-08-26","","Andhra Pradesh","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0",
"DELIVERED","324187177626930304_1","558468591","2026-08-26","","Uttar Pradesh","Welcome Baby Decoration Kit | Pink White and Silver Foil Balloon Decor | Banner and Fringe Curtain | (Set of 59 Pcs)","WB005","Free Size","1","188.0","188.0","TP15DAE01434870"
"SHIPPED","324437801459081025_1","550120953","2026-08-27","","Kerala","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434871"
"DELIVERED","324443547486293824_1","550120953","2026-08-27","","Punjab","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434869"
"DELIVERED","324495775558131264_1","550120953","2026-08-27","","Gujarat","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434874"
"SHIPPED","324785415994642240_1","553468200","2026-08-28","","Andhra Pradesh","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0","NP2NMEU01839147"
"DELIVERED","324819462287119872_1","558468591","2026-08-28","","Bihar","Welcome Baby Decoration Kit | Pink White and Silver Foil Balloon Decor | Banner and Fringe Curtain | (Set of 59 Pcs)","WB005","Free Size","1","188.0","188.0","TP15DAE01434886"
"SHIPPED","324844827165757257_1","550120953","2026-08-28","","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","182.0","182.0","TP15DAE01434884"
"CANCELLED","324865875276586624_1","550120953","2026-08-28","","Tamil Nadu","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0",
"DELIVERED","324875525745139456_1","550120953","2026-08-28","","Gujarat","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434879"
"DELIVERED","324905523369516864_1","550120953","2026-08-28","","Rajasthan","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","182.0","182.0","TP15DAE01434872"
"SHIPPED","324944181220990656_1","553468200","2026-08-28","","Karnataka","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0","NP2NMEU01839143"
"RTO_LOCKED","325124564101226112_1","558468591","2026-08-29","","Uttar Pradesh","Welcome Baby Decoration Kit | Pink White and Silver Foil Balloon Decor | Banner and Fringe Curtain | (Set of 59 Pcs)","WB005","Free Size","1","183.0","183.0","TP15DAE01434885"
"SHIPPED","325144606870906048_1","553468200","2026-08-29","","Madhya Pradesh","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0","NP2NMEU01839144"
"DELIVERED","325174744502623744_1","558468591","2026-08-29","","Uttar Pradesh","Welcome Baby Decoration Kit | Pink White and Silver Foil Balloon Decor | Banner and Fringe Curtain | (Set of 59 Pcs)","WB005","Free Size","1","188.0","188.0","TP15DAE01434887"
"DELIVERED","325199845326103296_1","549481690","2026-08-29","","Haryana","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","187.0","187.0","TP15DAE01434881"
"CANCELLED","325219856171523584_1","550120953","2026-08-29","","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0",
"DELIVERED","325277073812530368_1","550120953","2026-08-29","Ad order","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434873"
"CANCELLED","325285763275153024_1","550120953","2026-08-29","","Tamil Nadu","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0",
"DELIVERED","325290674624782080_1","550120953","2026-08-29","Ad order","Madhya Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434882"
"DELIVERED","325312091177213632_1","550120953","2026-08-29","Ad order","Haryana","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","182.0","182.0","TP15DAE01434875"
"DELIVERED","325328068761738880_1","549481690","2026-08-29","","Uttar Pradesh","Welcome Baby Decoration Kit | Blue and White Party Decor | Moon Star Foils | Baby Shower (Set of 57 Pcs)","WB001","Free Size","1","182.0","182.0","TP15DAE01434880"
"DELIVERED","325397672934628992_1","550120953","2026-08-30","Ad order","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","182.0","182.0","TP15DAE01434877"
"DELIVERED","325441464471510656_1","550120953","2026-08-30","Ad order","Punjab","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434883"
"SHIPPED","325504448682122752_1","550120953","2026-08-30","","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434876"
"CANCELLED","325510766679678656_1","550120953","2026-08-30","Ad order","Gujarat","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0",
"SHIPPED","325513477374467776_1","550120953","2026-08-30","","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434888"
"DELIVERED","325524239610404352_1","550120953","2026-08-30","Ad order","Rajasthan","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434878"
"RTO_INITIATED","325546003117015680_1","550120953","2026-08-30","Ad order","Rajasthan","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434897"
"SHIPPED","325557306236460544_1","550120953","2026-08-30","Ad order","Chhattisgarh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434894"
"SHIPPED","325557634520440448_1","558472436","2026-08-30","","Maharashtra","Welcome Baby Decoration Kit | Pink White and Silver Foil Balloon Decor | Banner and Fringe Curtain | (Set of 59 Pcs)","WB006","Free Size","1","189.0","189.0","TP15DAE01434892"
"SHIPPED","325560947362094848_1","550120953","2026-08-30","Ad order","Assam","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434895"
"DELIVERED","325563045295587968_1","550120953","2026-08-30","Ad order","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434891"
"DELIVERED","325588054083493376_1","550120953","2026-08-30","Ad order","Maharashtra","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434896"
"RTO_INITIATED","325593848816459520_1","550120953","2026-08-30","Ad order","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434889"
"DELIVERED","325624451838369536_1","550120953","2026-08-30","Ad order","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434890"
"RTO_LOCKED","325642627709305472_1","550120953","2026-08-30","Ad order","Haryana","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434898"
"SHIPPED","325649510573399808_1","538866687","2026-08-30","","Madhya Pradesh","Annaprasan Decoration Kit | Red Gold Metallic Balloons | Heart Foil Banner | Props LED Light (Set of 54 Pcs)","ANP003","Free Size","1","188.0","188.0","TP15DAE01434899"
"READY_TO_SHIP","325889334517554816_1","546673901","2026-08-31","","Maharashtra","Space Theme Birthday Decoration Kit for Kids - 54 Pcs Happy Birthday Balloon Set with Astronaut, Moon & Star Foil Balloons","HBD-SPACE01","Free Size","1","163.0","163.0",
"SHIPPED","325978284343022656_1","550120953","2026-08-31","","Karnataka","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","182.0","182.0","TP15DAE01434900"
"SHIPPED","325989742963446720_1","553468200","2026-08-31","","Madhya Pradesh","Groom To Be Decoration Kit | Black and Gold Bachelor Party Decor | Foil Banner and Sash | (Set of 50 Pcs)","GTB007","Free Size","1","174.0","174.0",
"DELIVERED","326016304010089344_1","550120953","2026-08-31","","Uttar Pradesh","Welcome Baby Decoration Kit | Blue White Baby Shower | Foil Banner Balloon Backdrop | Home Party (Set of 57 Pcs)","WB002","Free Size","1","187.0","187.0","TP15DAE01434893"
"DELIVERED","326022340092597312_1","553524290","2026-08-31","","Uttar Pradesh","Doraemon Birthday Decoration Kit | Blue Silver White Colour Balloons | Party Decor | Foil Banner Stars | (Set of 50 Pcs)","HBD-dore01","Free Size","1","163.0","163.0",
